Enterprise Agile Transformation;Robert Annis;2018
Business Intelligence with Excel 2013;Ian Littlejohn;2018
Wireless Networks, IoT, and Mobile Devices Hacking (The Art of Hacking Series);Omar Santos;2018
Adobe Premiere Pro CC Fundamentals;Ignacio Boveri;2018
Critical Thinking at Work;Connie Missimer;2018
Learning C# by Developing Games with Unity;Daniel Wise;2018
Conquering Git: Advanced Training Guide;Ignazio Calò;2018
Preparing for the Certified OpenStack Administrator Exam;Matt Dorn;2018
Mastering Ansible;James Spurin;2018
Learning C++ by Creating Games with Unreal Engine 4;Nicholas Helish;2018
Building Advanced OpenCV3 Projects with Python;Riaz Munshi;2018
Training Your Systems with Python Statistical Modeling;Curtis Miller;2018
A Quick Guide to iOS 11's New Features;Jonathan Daley;2018
iOS Augmented Reality with ARKit;Felix Changoo;2018
Deep Learning with Keras;Sujit Pal, Antonio Gulli;2018
Saving Data in iOS Apps – Core Data and Realm;Nick Walter;2018
Build Automation Features in TFS;Paul Hacker;2018
Developing Web Application Using Bootstrap 4;Silvio Moreto;2018
ElasticSearch, LogStash, Kibana (the ELK Stack) # 3;Manuj Aggarwal;2018
ElasticSearch, LogStash, Kibana (the ELK Stack) # 2;Manuj Aggarwal;2018
DevOps: CI/CD with Jenkins pipelines, Maven, Gradle;Manuj Aggarwal;2018
Architect Android apps with MVP, Dagger, Retrofit & RxJava;Manuj Aggarwal;2018
Professional Web Scraping with Java;Patrick Meier;2018
Puppet 5 – The Complete Beginner’s Guide;John Arundel;2018
Google Analytics with Google Data Studio;Ian Littlejohn;2018
React Recipes;Diego Muracciole;2018
Kali Linux Penetration Testing Recipes;Aubrey Love;2018
Artificial Intelligence with Python – Deep Neural Networks;Prateek Joshi;2018
Keras Deep Learning Projects;Tsvetoslav Tsekov;2018
Complete Introduction to Business Data Analysis;Ian Littlejohn;2018
Data Modelling and Analysis with Excel Power Pivot;Ian Littlejohn;2018
Interactive Dashboards with Excel Pivot Tables;Ian Littlejohn;2018
Data Analysis and Dashboards with Google Data Studio;Ian Littlejohn;2018
Docker, Apache Mesos & DCOS: Run and manage you own IaaS cloud datacenter;Manuj Agarwal;2018
Investigation of Hidden Data in Digital Files;Ric Messier;2018
Getting Started with C++ Programming;Richard Snyder;2018
Introduction to Web Application Security Testing with Kali Linux;Ric Messier;2018
From 0 To 1:SQL And Databases - Heavy Lifting;Loonycorn;2018
Testing and Validating Product Ideas with Lean;Maryam Aidini, Kylie Castellaw;2018
Introduction to Lean;Maryam Aidini, Kylie Castellaw;2018
5 Questions on Agile with Ken Power;Ken Power;2018
5 Questions on Agile with Lauri Apple;Lauri Apple;2018
5 Questions on Voice Technology with Ann Thyme-Gobbel;Ann Thyme-Gobbel;2018
5 Questions on Voice Technology with Karen Kaushansky;Karen Kaushansky;2018
5 Questions on Voice Technology with Cathy Pearl;Cathy Pearl;2018
5 Questions on Agile with Dom Price;Dom Price;2018
Linux Performance Optimization: Red Hat EX436 and LPIC-3 304;Sander van Vugt;2018
Security Testing and Ethical Hacking with Kali Linux;Ric Messier;2018
Working with Advanced Docker Operations;Randall Smith;2018
Jupyter for Data Science;Dan Toomey;2018
Machine Learning in R—Automated Algorithms for Business Analysis;Michael Grogan;2018
5 Questions on Python with Chris Moffitt;Chris Moffitt;2018
AWS MasterClass: Storage & CDN - AWS S3 & AWS CloudFront;TetraTutorials Team, Manuj Aggarwal;2018
AWS MasterClass: DevOps w/ AWS Command Line Interface (CLI);TetraTutorials Team, Manuj Aggarwal;2018
AWS MasterClass: Monitoring and DevOps with AWS CloudWatch;TetraTutorials Team, Manuj Aggarwal;2018
Break Away: Programming And Coding Interviews;Loonycorn;2018
DevOps: CI/CD with Jenkins pipelines, Maven, Gradle;Manuj Aggarwal;2018
TeamCity: continuous integration & DevOps with Java and .NET;TetraTutorials Team, Manuj Aggarwal;2018
Learning Generative Adversarial Networks;Kuntal Ganguly;2018
Appium(Selenium)-Mobile Automation Testing from Scratch;Rahul Shetty;2018
Learning PowerShell 6;Joshua B. Jones;2018
CompTIA Advanced Security Practitioner (CASP) CAS-003;Michael J. Shannon;2018
ElasticSearch, LogStash, Kibana ELK #1 - Learn ElasticSearch;TetraTutorials Team, Manuj Aggarwal;2018
Java for beginners: Step-by-step hands-on guide to Java;TetraTutorials Team, Manuj Aggarwal;2018
GUI Programming with C++;Jeganathan Swaminathan;2018
Effective Prediction with Machine Learning - Second Edition;Julian Avila;2018
Pandas Data Cleaning and Modeling with Python;Daniel Y. Chen;2018
Beginners' guide to Cloud Computing and OpenStack;TetraTutorials Team, Manuj Aggarwal;2018
Complete Git and GitHub Masterclass : Beginner to Git Expert;Bibhash Roy;2018
5 Questions on Agile with Michelle Brush;Michelle Brush;2018
ElasticSearch, LogStash, Kibana ELK #3 - Learn Kibana;TetraTutorials Team, Manuj Aggarwal;2018
Learn How to Use Alteryx and Tableau to Quickly Blend Data and Gain Insights Through Visualization;Kristin Scholer;2018
Advanced Server-Side Programming with Node.js;Mohammad Hunan Chughtai;2018
Tensorflow Solutions for Data;Will Ballard;2018
SQL Server 2017 Administration Inside Out;Eric Johnson;2018
Building Your Application with React Native;Álvaro Medina Ballester;2018
Windows Mixed Reality and Hololens Development Fundamentals;Sean Ong;2018
Webpack for React Applications;Alexandru Toea;2018
Building Serverless Applications;Marcia Villalba;2018
Text Mining Fundamentals;Rahul Chandnani;2018
AWS Storage and CDN Services - S3, EBS, EFS, CloudFront;Manuj Agarwal;2018
Data Visualization Solutions for Beginners;Mohammed Topiwalla;2018
Amazon Web Services (AWS) Lex Fundamentals;Steve Hoberman;2018
AWS: Monitoring & DevOps with CloudWatch;Manuj Agarwal;2018
Managing Your Manager;Ken Kousen;2018
Advanced Coding with Unreal Engine 4;Dr. Alireza Tavakkoli;2018
Docker Orchestration and Microservices, Second Edition;Charles David Crawford;2018
AWS Development Fundamentals;Nick Garner;2018
Mining the Social Web: Mining Instagram;Mikhail Klassen;2018
Regression Analysis and Hypothesis Testing in R;Michael Grogan;2018
Deep Dive into AWS Lambda;Alan Rodrigues;2018
Intermediate Laravel: Adding Popular Features to Our Apps;J. Alexander Curtis;2018
Design Thinking 101;Gretchen Anderson;2018
Advanced OpenCV 3;Adi Shavit;2018
Machine Learning for Time Series Data Analysis;Mikio Braun;2018
Data Manipulation with R and SQL;Michael Grogan;2018
Chef Recipes;Mohammad Sharique Kamal;2018
DIY Corporate Data Model: Develop your own corporate data model framework in 3 hours, using patterns;John Giles;2018
Adobe Photoshop Lightroom Fundamentals;Ignacio Boveri;2018
Kinds of Data Models: Toward a Common Vocabulary;David Hay;2018
The Emerging Role of Data in Government;Tyler Kleykamp;2018
Even NoSQL Databases have Relationships;Pascal Desmarets;2018
Data Strategy;Peter Aiken;2018
Data Vault Fundamentals;John Giles;2018
Agile for Data Professionals;Larry Burns;2018
Data Model Storytelling;Larry Burns;2018
Eleven Functional Areas in Search of a Narrative;Laura Sebastian-Coleman;2018
Data Science with R Master Class;Daniel D. Gutierrez;2018
Neo4j in Practice;Derevyanko Konstantin;2018
Enterprise Data Modeling in the World of Big Data;Ivan Schotsmans;2018
Advanced Negotiation and Conflict Management Skills for IT Professionals;J.D. Cheryl L. Jamison;2018
Python and TensorFlow Applied to Deep Learning and Neural Networks;Achilles Rasquinha;2018
Scrum Product Owner Toolkit;Maria Elena Opiniano Boiser;2018
Bayesian Statistics;Rolando Gonzales;2018
Adobe Illustrator Fundamentals;Yonathan Zinabu;2018
Graph Database Fundamentals;William McKnight;2018
Adobe Photoshop Fundamentals;Ignacio Boveri;2018
Ensemble Learning;Rahul Chandnani;2018
